name,username,id,subs,img
BLACKPINK,BLACKPINK,UCOmHUn--16B90oW2L6FRR3A,92300000,https://yt3.ggpht.com/hZDUwjoeQqigphL4A1tkg9c6hVp5yXmbboBR7PYFUSFj5PIJSA483NB5v7b0XVoTN9GCku3tqQ=s240-c-k-c0x00ffffff-no-nd-rj
BTS,bts_bighit,UCLkAepWjdylmXSltofFvsYQ,77000000,https://yt3.ggpht.com/zL7KDS7WEHVbgpo6dM91hL5e91etHiuq2umW32iSePrhE5411SPsEdpAEcf5m5mYS-a_vpl7Ww=s240-c-k-c0x00ffffff-no-nd-rj
Justin Bieber,justinbieber,UCIwFjwMjI0y7PDBVEO9-bkQ,72300000,https://yt3.ggpht.com/ytc/APkrFKZonlxO-ZANua4KbeZCzd0Oopd0gEPClEmL4Ued8A=s240-c-k-c0x00ffffff-no-rj-mo
Eminem,Eminem,UCfM3zsQsOnfWNUppiycmBuw,58200000,https://yt3.ggpht.com/ytc/APkrFKa9UGCuQ1IgMpmCGrWZp85Z0fEM1Rlp7NCRxdtLIw=s240-c-k-c0x00ffffff-no-rj-mo
Marshmello,marshmellomusic,UCEdvpU2pFRCVqU6yIPyTpMQ,56700000,https://yt3.ggpht.com/gCAlgUmrZ0D4gEzRIwk2Bc1hf5PMUNF3cBk90pR2D6fgkU1IhjuvkruStrhQdKVL3ekINivc=s240-c-k-c0x00ffffff-no-nd-rj
Taylor Swift,taylorswift13,UCqECaJ8Gagnn7YCbPEzWH6g,55600000,https://yt3.ggpht.com/Udfgx_So2Z5UBHtnX7ZWtGt62Znvjr7BSBuboSz89A3-o6POuHot6QvldEp1siGncPDEwr7-Ag=s240-c-k-c0x00ffffff-no-nd-rj
Ed Sheeran,edsheeran,UC0C-w0YjGpqDXGB8IHb662A,53900000,https://yt3.ggpht.com/DyJlQOK6ohCFDODWWfZ3wjT6dabLcNTPLI6ksUsZGjRthU1JfXgGyPDawVhN9T3sT8uQT0sTfA=s240-c-k-c0x00ffffff-no-nd-rj
Ariana Grande,ArianaGrande,UC9CoOnJkIBMdeijd9qYoT_g,53100000,https://yt3.ggpht.com/ytc/APkrFKZVlmbWczZxyNCqWkJgvNRCNPdCjkJmsoXpqxZvgA=s240-c-k-c0x00ffffff-no-rj-mo
Billie Eilish,billieeilish,UCiGm_E4ZwYSHV3bcW1pnSeQ,48900000,https://yt3.ggpht.com/ytc/APkrFKaZfhLpJ5dKm00prHJgxis4EZYwjvW3agj12X0-VA=s240-c-k-c0x00ffffff-no-rj-mo
Bad Bunny,sanbenito,UCmBA_wu8xGg1OfOkfW13Q0Q,47200000,https://yt3.ggpht.com/MH1BdZQE2X6k3WlIns2YlyBNude9Qh3nN0dnG-_zvkM1o5gzBS3upL-C2w6Xm6DysPyg4x8ZHhQ=s240-c-k-c0x00ffffff-no-nd-rj
Shakira,shakira,UCYLNGLIzMhRTi6ZOLjAPSmw,45100000,https://yt3.ggpht.com/EnrubLSuM4kwxuk4jZe38LlMyFfEFPn_uSA47zA8JR7Fgk4f5pUolu0dpGK5JgZBZmzeUBl5Nw=s240-c-k-c0x00ffffff-no-nd-rj
Alan Walker,IAmAlanWalker,UCJrOtniJ0-NWz37R30urifQ,44600000,https://yt3.ggpht.com/5NPuTDxN3DB7JiyOgwuPv5OV9lGG4_-AUYsFVpr-WLr11Lqi90krGfWmju26UhWmilRDA1qaEg=s240-c-k-c0x00ffffff-no-nd-rj
Katy Perry,katyperry,UCYvmuw-JtVrTZQ-7Y4kd63Q,44600000,https://yt3.ggpht.com/8s2hH6UfSKbED2-UUVgCALU5BXXxvnk2ueNzBaCU-exfeoC9X1OZzDa6uqzI4cOA3ZDqyXjIsg=s240-c-k-c0x00ffffff-no-nd-rj
Rihanna,rihanna,UCcgqSM4YEo5vVQpqwN-MaNw,42500000,https://yt3.ggpht.com/YU2mwJNyBinBPRQRE4hLHK5zqb1ze5BgrdlFQSINRcYB3Ob-RgZiPWt_jGn8SuYEwovtWT5IB_s=s240-c-k-c0x00ffffff-no-nd-rj
One Direction,onedirection,UCb2HGwORFBo94DmRx4oLzow,38400000,https://yt3.ggpht.com/ytc/APkrFKZo9ld_C1cKNu-yPWgXQOlxAtH68M-haOLUNwJdmPA=s240-c-k-c0x00ffffff-no-rj-mo
Daddy Yankee,daddy_yankee,UC9TO_oo4c_LrOiKNaY6aysA,38400000,https://yt3.ggpht.com/ngsSNacaotP_6KLU6VudiMdGtW6NPIcY0lrm8xPcys2U22KAsTdPpLLkpMsLWb0ExDTHl7MzpQ=s240-c-k-c0x00ffffff-no-nd-rj
Maroon 5,maroon5,UCBVjMGOIkavEAhyqpxJ73Dw,36800000,https://yt3.ggpht.com/S_jTelpAHOdADumYkZAtwyLydEkqtv39s3T-Rmif0v1WCDb8pZit-Vlo43pR1jBEn0Tmcpkx=s240-c-k-c0x00ffffff-no-nd-rj
Ozuna,ozuna,UCjIA3wwhi0QjSOXAZwOXbPA,36500000,https://yt3.ggpht.com/np5zW1gH_0aAUPeLJ2KhE5_aZZdxwwzINW7ZhgBrlWkVyujXpe2ALU6ema9Jzcn-8YDk50iwbA=s240-c-k-c0x00ffffff-no-nd-rj
J Balvin,jbalvin,UCt-k6JwNWHMXDBGm9IYHdsg,34200000,https://yt3.ggpht.com/frPFmMQwFXLcq06Hl7ocTGw_doV77PKvKG9o0oIDojyKlFAwo7tHblHfdIMvRhrhwhkctdrD7w=s240-c-k-c0x00ffffff-no-nd-rj
